well,isolation
A1,sewage
A2,sewage
A3,sewage
A4,sewage
A5,sewage
A6,sewage
A7,sewage
A8,sewage
A9,sewage
A10,sewage
A11,sewage
A12,sewage
B1,sewage
B2,sewage
B3,sewage
B4,sewage
B5,sewage
B6,sewage
B7,sewage
B8,sewage
B9,sewage
B10,sewage
B11,sewage
B12,sewage
C1,environment
C2,environment
C3,environment
C4,environment
C5,environment
C6,environment
C7,environment
C8,environment
C9,environment
C10,environment
C11,environment
C12,environment
D1,nothing
D2,nothing
D3,nothing
D4,nothing
D5,nothing
D6,nothing
D7,nothing
D8,nothing
D9,nothing
D10,nothing
D11,nothing
D12,nothing
E1,nothing
E2,nothing
E3,nothing
E4,nothing
E5,nothing
E6,nothing
E7,nothing
E8,nothing
E9,nothing
E10,nothing
E11,nothing
E12,nothing
F1,nothing
F2,nothing
F3,nothing
F4,nothing
F5,nothing
F6,nothing
F7,nothing
F8,nothing
F9,nothing
F10,nothing
F11,nothing
F12,nothing
G1,nothing
G2,nothing
G3,nothing
G4,nothing
G5,nothing
G6,nothing
G7,nothing
G8,nothing
G9,nothing
G10,nothing
G11,nothing
G12,nothing
H1,nothing
H2,nothing
H3,nothing
H4,nothing
H5,nothing
H6,nothing
H7,nothing
H8,nothing
H9,nothing
H10,nothing
H11,host
H12,blk
